id,date,user,department,software,seats,amount
1,23-10-2022 18:50:10,Wil Wheaton,Marketting,Apple,3,60.0
2,17-11-2022 16:37:10,Leslie Winkle,Tech,Outplay,1,12.0
3,14-05-2022 09:00:57,Amy Farrah Fowler,Tech,Outplay,3,36.0
4,03-02-2023 14:37:45,Bert Kibbler,Customer Success,Sentry,1,5.0
5,18-10-2022 09:11:51,Dr. Beverly Hofstadter,Sales,Discord,2,2.0
6,29-11-2022 08:38:37,Amy Farrah Fowler,Tech,Outplay,2,24.0
7,27-08-2022 06:37:02,Priya Koothrappali,Sales,Teams,4,20.0
8,04-06-2022 20:14:20,Wil Wheaton,Marketting,Google,5,10.0
9,29-04-2023 22:33:56,Sheldon Cooper,Tech,Discord,3,3.0
10,19-06-2022 12:21:18,Leslie Winkle,Tech,Google,2,4.0
11,02-06-2022 00:18:59,Emily Sweeney,HR,Github,5,20.0
12,06-06-2022 17:26:46,Wil Wheaton,Marketting,Fullstory,3,33.0
13,15-08-2022 07:58:28,Rostenkowski,Tech,Height,2,6.0
14,20-04-2023 18:43:21,Dr. V.M. Koothrappali,Marketting,Slack,2,20.0
15,11-06-2022 04:44:12,Bert Kibbler,Customer Success,Zapier,5,20.0
16,12-09-2022 07:52:40,Dr. Beverly Hofstadter,Sales,Sentry,2,10.0
17,05-12-2022 18:58:24,Barry Kripke,Customer Success,Sentry,4,20.0
18,05-04-2023 02:35:02,Dr. Beverly Hofstadter,Sales,Apple,4,80.0
19,03-06-2022 23:28:27,Leslie Winkle,Tech,Outplay,4,48.0
20,27-01-2023 00:35:56,Emily Sweeney,HR,Outplay,3,36.0
21,23-06-2022 03:27:17,Bert Kibbler,Customer Success,Discord,5,5.0
22,16-03-2023 12:32:53,Leonard Hofstadter,Tech,Height,3,9.0
23,05-08-2022 02:03:24,Leslie Winkle,Tech,Slack,1,10.0
24,18-06-2022 07:42:55,Dr. Beverly Hofstadter,Sales,Figma,3,42.0
25,12-03-2023 21:12:39,Sheldon Cooper,Tech,Slack,2,20.0
26,03-10-2022 23:40:46,Priya Koothrappali,Sales,Fullstory,3,33.0
27,05-02-2023 09:15:22,Leonard Hofstadter,Tech,Sentry,5,25.0
28,11-02-2023 17:09:19,Rostenkowski,Tech,Figma,3,42.0
29,10-11-2022 06:05:04,Bert Kibbler,Customer Success,Appolo,4,68.0
30,20-09-2022 21:18:21,Leslie Winkle,Tech,Teams,3,15.0
31,23-08-2022 14:16:45,Amy Farrah Fowler,Tech,Teams,1,5.0
32,10-08-2022 23:50:01,Denise,HR,Teams,2,10.0
33,22-04-2023 06:18:18,Amy Farrah Fowler,Tech,Outplay,4,48.0
34,15-02-2023 09:21:05,Bert Kibbler,Customer Success,Slack,2,20.0
35,24-06-2022 10:38:26,Leonard Hofstadter,Tech,Sentry,3,15.0
36,11-02-2023 00:22:09,Dr. Beverly Hofstadter,Sales,Height,5,15.0
37,18-05-2022 06:49:43,Dr. Beverly Hofstadter,Sales,Teams,2,10.0
38,22-05-2022 02:17:53,Wil Wheaton,Marketting,Apple,1,20.0
39,30-06-2022 19:36:10,Rostenkowski,Tech,Fullstory,5,55.0
40,18-06-2022 15:47:13,Priya Koothrappali,Sales,Zapier,3,12.0
41,31-10-2022 17:06:32,Denise,HR,Figma,4,56.0
42,25-01-2023 21:47:16,Dr. V.M. Koothrappali,Marketting,Fullstory,4,44.0
43,17-09-2022 00:15:29,Denise,HR,Github,1,4.0
44,22-04-2023 14:03:29,Leslie Winkle,Tech,Discord,5,5.0
45,24-05-2022 15:49:03,Rostenkowski,Tech,Apple,5,100.0
46,04-09-2022 06:12:08,Barry Kripke,Customer Success,Teams,1,5.0
47,30-09-2022 09:35:21,Leslie Winkle,Tech,Slack,3,30.0
48,02-10-2022 06:59:07,Leonard Hofstadter,Tech,Height,5,15.0
49,10-01-2023 19:33:11,Dr. V.M. Koothrappali,Marketting,Zapier,3,12.0
50,09-12-2022 21:13:04,Emily Sweeney,HR,Slack,4,40.0
51,25-01-2023 06:19:20,Bert Kibbler,Customer Success,Zapier,1,4.0
52,28-09-2022 02:25:59,Bert Kibbler,Customer Success,Sentry,3,15.0
53,07-05-2023 05:04:51,Wil Wheaton,Marketting,Apple,5,100.0
54,16-02-2023 21:24:33,Emily Sweeney,HR,Google,2,4.0
55,11-01-2023 03:09:03,Priya Koothrappali,Sales,Height,2,6.0
56,04-04-2023 17:06:45,Leonard Hofstadter,Tech,Google,4,8.0
57,09-05-2023 14:36:37,Leonard Hofstadter,Tech,Sentry,4,20.0
58,10-11-2022 16:32:29,Amy Farrah Fowler,Tech,Figma,5,70.0
